Proposal_Number,Grant_Number,Field_of_Science,Field_of_Science_Division,Field_of_Science_Directorate,Project_Type,Transaction_Type,Start_Date,End_Date
MCB110017,MCB110017,Biochemistry and Molecular Structure and Function,Molecular Biosciences,Biological Sciences,XRAC,renewal,7/1/2012,6/30/2013
CHE060080,CHE070005N,Chemistry,Chemistry,Mathematical and Physical Sciences,,new,11/20/2006,11/30/2007
CHE090002,CHE090021,Chemistry,Chemistry,Mathematical and Physical Sciences,Startup,new,10/14/2008,10/14/2009
CHE090018,CHE090036,Physical Chemistry,Chemistry,Mathematical and Physical Sciences,Startup,new,11/20/2008,11/20/2009
CHE090002,CHE090021,Physical Chemistry,Chemistry,Mathematical and Physical Sciences,Startup,renewal,10/15/2009,10/15/2010
CHE100035,CHE100035,Chemistry,Chemistry,Mathematical and Physical Sciences,Startup,new,2/2/2010,2/2/2011
CHE100117,CHE100117,Chemistry,Chemistry,Mathematical and Physical Sciences,Startup,new,7/23/2010,7/23/2011
CHE100117,CHE100117,Chemistry,Chemistry,Mathematical and Physical Sciences,Startup,renewal,8/26/2011,8/26/2012
CHE120061,CHE120061,Physical Chemistry,Chemistry,Mathematical and Physical Sciences,Startup,new,5/8/2012,5/8/2013
CHE100117,CHE100117,Chemistry,Chemistry,Mathematical and Physical Sciences,Startup,renewal,8/27/2012,8/26/2013
CHE130113,CHE130113,Physical Chemistry,Chemistry,Mathematical and Physical Sciences,Startup,new,9/7/2013,9/6/2014
IBN090012,IBN090012,Neuroscience Biology,Integrative Biology and Neuroscience,Biological Sciences,Startup,new,9/24/2009,9/24/2010
MCB110029,MCB110029,Genetics and Nucleic Acids,Molecular Biosciences,Biological Sciences,Startup,new,10/29/2010,10/29/2011
MCB110029,MCB110029,Training,Training,Other,Campus Champions,renewal,1/10/2012,1/10/2013
MCB120068,MCB120068,Genetics and Nucleic Acids,Molecular Biosciences,Biological Sciences,Startup,new,2/23/2012,2/23/2013
MCB120067,MCB120067,Genetics and Nucleic Acids,Molecular Biosciences,Biological Sciences,Startup,new,2/23/2012,2/23/2013
MCB120074,MCB120074,Biochemistry and Molecular Structure and Function,Molecular Biosciences,Biological Sciences,Startup,new,3/23/2012,3/23/2013
MCB120070,MCB120070,Genetics and Nucleic Acids,Molecular Biosciences,Biological Sciences,Startup,new,3/30/2012,3/30/2013
MCB120155,MCB120155,Biochemistry and Molecular Structure and Function,Molecular Biosciences,Biological Sciences,XRAC,new,10/1/2012,9/30/2013
MCB120070,MCB120070,Genetics and Nucleic Acids,Molecular Biosciences,Biological Sciences,Startup,renewal,3/31/2013,3/30/2014
MCB130193,MCB130193,Biochemistry and Molecular Structure and Function,Molecular Biosciences,Biological Sciences,Startup,new,7/23/2013,7/22/2014
MCB120155,MCB120155,Biochemistry and Molecular Structure and Function,Molecular Biosciences,Biological Sciences,XRAC,renewal,10/1/2013,9/30/2014
DBS140002,DBS140002,Behavioral and Neural Sciences,Behavioral and Neural Sciences,"Social, Behavioral, and Economic Sciences",Startup,new,3/20/2014,3/19/2015
MCB140160,MCB140160,Genetics and Nucleic Acids,Molecular Biosciences,Biological Sciences,Startup,new,5/9/2014,5/8/2015
MCB120155,MCB120155,Biophysics,Molecular Biosciences,Biological Sciences,Research,renewal,10/1/2014,9/30/2015
MCB140215,MCB140215,Biophysics,Molecular Biosciences,Biological Sciences,Research,new,10/1/2014,9/30/2015
MCB150041,MCB150041,Biophysics,Molecular Biosciences,Biological Sciences,Startup,new,3/12/2015,3/11/2016
MCB120155,MCB120155,Biochemistry and Molecular Structure and Function,Molecular Biosciences,Biological Sciences,Research,renewal,10/1/2015,9/30/2016
MCB140215,MCB140215,Biochemistry and Molecular Structure and Function,Molecular Biosciences,Biological Sciences,Research,renewal,12/11/2015,12/31/2015
MCB140215,MCB140215,Biochemistry and Molecular Structure and Function,Molecular Biosciences,Biological Sciences,Research,renewal,1/1/2016,12/31/2016
MCB120155,MCB120155,Biochemistry and Molecular Structure and Function,Molecular Biosciences,Biological Sciences,Research,renewal,10/1/2016,9/30/2017
MCB170049,MCB170049,Molecular Biosciences,Molecular Biosciences,Biological Sciences,Startup,new,5/2/2017,5/1/2018
MCB140215,MCB140215,Biological Sciences,Biological Sciences,Biological Sciences,Research,renewal,3/2/2018,3/31/2018
MCB140215,MCB140215,Biological Sciences,Biological Sciences,Biological Sciences,Research,renewal,4/1/2018,3/31/2019
MCB060122,MCB060092T,Molecular Biosciences,Molecular Biosciences,Biological Sciences,,new,9/25/2006,9/30/2007
CHE120047,CHE120047,Organic and Macromolecular Chemistry,Chemistry,Mathematical and Physical Sciences,Startup,new,4/25/2012,4/25/2013
CHE140129,CHE140129,Chemistry,Chemistry,Mathematical and Physical Sciences,Startup,new,10/8/2014,10/7/2015
CHE150026,CHE150026,Organic and Macromolecular Chemistry,Chemistry,Mathematical and Physical Sciences,Research,new,7/1/2015,6/30/2016
CHE150026,CHE150026,Chemistry,Chemistry,Mathematical and Physical Sciences,Research,renewal,1/1/2017,12/31/2017
CHE150056,CHE150056,Physical Chemistry,Chemistry,Mathematical and Physical Sciences,Startup,new,9/10/2015,9/9/2016
DMR130069,DMR130069,Materials Research,Materials Research,Mathematical and Physical Sciences,Startup,new,4/17/2013,4/16/2014
DMR150048,DMR150048,Materials Research,Materials Research,Mathematical and Physical Sciences,Startup,new,6/3/2015,6/2/2016
AST100048,AST100048,Stellar Astronomy and Astrophysics,Astronomical Sciences,Mathematical and Physical Sciences,Startup,new,10/1/2010,10/1/2011
AST120011,AST120011,Stellar Astronomy and Astrophysics,Astronomical Sciences,Mathematical and Physical Sciences,XRAC,renewal,1/1/2012,12/31/2012
PHY120020,PHY120020,Physics,Physics,Mathematical and Physical Sciences,Educational,new,2/10/2012,2/10/2013
AST120011,AST120011,Stellar Astronomy and Astrophysics,Astronomical Sciences,Mathematical and Physical Sciences,XRAC,renewal,10/1/2013,9/30/2014
MCB060051,MCB060034T,Molecular Biosciences,Molecular Biosciences,Biological Sciences,,new,3/28/2006,3/31/2007
MSS080002,MSS080008N,Mechanical and Structural Systems,Mechanical and Structural Systems,Engineering,,new,11/27/2007,11/30/2008
MSS090043,MSS090043,Mechanics and Materials,Mechanical and Structural Systems,Engineering,Startup,new,5/30/2009,5/30/2010
MCA99S024,MCA99S024,Astronomical Sciences,Astronomical Sciences,Mathematical and Physical Sciences,,renewal,3/30/2004,3/31/2005
MCA99S024,MCA99S024,Astronomical Sciences,Astronomical Sciences,Mathematical and Physical Sciences,,renewal,4/1/2005,3/31/2006
MCA99S024,MCA99T024,Astronomical Sciences,Astronomical Sciences,Mathematical and Physical Sciences,,new,4/1/2005,3/31/2006
,AST050003P,Galactic Astronomy,Astronomical Sciences,Mathematical and Physical Sciences,,new,2/1/2005,8/2/2006
MCA99S024,MCA99T024,Astronomical Sciences,Astronomical Sciences,Mathematical and Physical Sciences,,renewal,4/1/2006,3/31/2007
MCA99S024,MCA99S024,Astronomical Sciences,Astronomical Sciences,Mathematical and Physical Sciences,,renewal,4/1/2006,3/31/2007
MCA99S024,MCA99T024,Astronomical Sciences,Astronomical Sciences,Mathematical and Physical Sciences,,renewal,4/1/2007,3/31/2008
MCA99S024,MCA99S024,Astronomical Sciences,Astronomical Sciences,Mathematical and Physical Sciences,,renewal,4/1/2007,3/31/2008
MCA99S024,MCA99S024,Astronomical Sciences,Astronomical Sciences,Mathematical and Physical Sciences,,renewal,5/1/2007,3/31/2008
MCA99S024,MCA99S024,Astronomical Sciences,Astronomical Sciences,Mathematical and Physical Sciences,LRAC,renewal,10/1/2008,9/30/2009
AST090006,AST090072,Astronomical Sciences,Astronomical Sciences,Mathematical and Physical Sciences,Startup,new,11/20/2008,11/20/2009
MCA99S024,MCA99S024,Planetary Astronomy,Astronomical Sciences,Mathematical and Physical Sciences,TRAC,renewal,4/1/2010,3/31/2011
MCA99S024,MCA99S024,Astronomical Sciences,Astronomical Sciences,Mathematical and Physical Sciences,TRAC,renewal,4/1/2011,3/31/2012
MCA99S024,MCA99S024,Astronomical Sciences,Astronomical Sciences,Mathematical and Physical Sciences,XRAC,renewal,7/1/2012,6/30/2013
AST120045,AST120045,Astronomical Sciences,Astronomical Sciences,Mathematical and Physical Sciences,XRAC,new,7/1/2012,6/30/2013
MCA99S024,MCA99S024,Stellar Astronomy and Astrophysics,Astronomical Sciences,Mathematical and Physical Sciences,XRAC,renewal,10/1/2013,9/30/2014
MCA99S024,MCA99S024,Astronomical Sciences,Astronomical Sciences,Mathematical and Physical Sciences,Research,renewal,1/1/2015,12/31/2015
MCA99S024,MCA99S024,Galactic Astronomy,Astronomical Sciences,Mathematical and Physical Sciences,Research,renewal,1/1/2016,12/31/2016
BIO160042,BIO160042,Biological Sciences,Biological Sciences,Biological Sciences,Startup,new,9/9/2016,9/8/2017
MCA99S024,MCA99S024,Astronomical Sciences,Astronomical Sciences,Mathematical and Physical Sciences,Research,renewal,4/1/2017,3/31/2018
AST170041,AST170041,Astronomical Sciences,Astronomical Sciences,Mathematical and Physical Sciences,Startup,new,12/8/2017,12/7/2018
AST170041,AST170041,Astronomical Sciences,Astronomical Sciences,Mathematical and Physical Sciences,Startup,new,12/11/2017,12/10/2018
SES160002,SES160002,Economics,Social and Economic Science,"Social, Behavioral, and Economic Sciences",Startup,new,5/3/2016,5/2/2017
MCB130147,MCB130147,Biochemistry and Molecular Structure and Function,Molecular Biosciences,Biological Sciences,Startup,new,6/21/2013,6/20/2014
MCB150019,MCB150019,Biophysics,Molecular Biosciences,Biological Sciences,Startup,new,1/21/2015,1/20/2016
MCB180181,MCB180181,Biophysics,Molecular Biosciences,Biological Sciences,Startup,new,11/13/2018,11/12/2019
CHE070045,CHE070037T,Chemistry,Chemistry,Mathematical and Physical Sciences,,new,3/22/2007,3/31/2008
MCB100130,MCB100130,Biochemistry and Molecular Structure and Function,Molecular Biosciences,Biological Sciences,Startup,new,6/24/2010,6/24/2011
PHY140042,PHY140042,Physics,Physics,Mathematical and Physical Sciences,Startup,new,7/29/2014,7/28/2015
ASC090070,ASC090070,Algorithm Development,Advanced Scientific Computing,Computer and Information Science and Engineering,Startup,new,7/2/2009,7/2/2010
CTS100066,CTS100066,"Fluid, Particulate, and Hydraulic Systems","Chemical, Thermal Systems",Engineering,TRAC,new,10/1/2010,9/30/2011
ASC130002,ASC130002,Advanced Scientific Computing,Advanced Scientific Computing,Computer and Information Science and Engineering,Startup,new,11/16/2012,11/15/2013
ASC130002,ASC130002,Advanced Scientific Computing,Advanced Scientific Computing,Computer and Information Science and Engineering,Startup,new,11/22/2012,11/21/2013
CTS100066,CTS100066,Advanced Scientific Computing,Advanced Scientific Computing,Computer and Information Science and Engineering,XRAC,renewal,4/1/2014,3/31/2015
DMS170022,DMS170022,Mathematical Sciences,Mathematical Sciences,Mathematical and Physical Sciences,Startup,new,9/18/2017,9/17/2018
DMS180005,DMS180005,Mathematical Sciences,Mathematical Sciences,Mathematical and Physical Sciences,Research,new,4/1/2018,3/31/2019
DMS060026,DMS070000T,Mathematical Sciences,Mathematical Sciences,Mathematical and Physical Sciences,,new,10/12/2006,10/31/2007
ASC060023,ASC060012T,Advanced Scientific Computing,Advanced Scientific Computing,Computer and Information Science and Engineering,,new,12/16/2005,12/31/2006
CDA040006,CDA040002T,Cross-Disciplinary Activities,Cross-Disciplinary Activities,Computer and Information Science and Engineering,,new,1/9/2004,1/31/2005
CDA040003,CDA040006T,Cross-Disciplinary Activities,Cross-Disciplinary Activities,Computer and Information Science and Engineering,,new,1/9/2004,1/31/2005
MCA03S028,MCA03S028,Physics,Physics,Mathematical and Physical Sciences,,new,12/18/2003,12/31/2004
DMS040027,DMS040009T,Mathematical Sciences,Mathematical Sciences,Mathematical and Physical Sciences,,new,7/9/2004,7/31/2004
CHE040047,CHE040026T,Chemistry,Chemistry,Mathematical and Physical Sciences,,new,7/9/2004,7/31/2005
,STA040011N,Center Systems Staff,Center Systems Staff,Other,,new,10/19/2004,12/31/2013
,STA040023N,Center Systems Staff,Center Systems Staff,Other,,new,10/19/2004,12/31/2013
ATM050005,ATM050001T,Atmospheric Sciences,Atmospheric Sciences,Geosciences,,new,11/24/2004,11/30/2005
,ASC050037N,Advanced Scientific Computing,Advanced Scientific Computing,Computer and Information Science and Engineering,,new,6/22/2005,6/30/2006
,STA040023N,Center Systems Staff,Center Systems Staff,Other,,new,3/17/2004,12/31/2013
,STA040011N,Center Systems Staff,Center Systems Staff,Other,,new,12/16/2003,12/31/2013
,ASC040011N,Advanced Scientific Computing,Advanced Scientific Computing,Computer and Information Science and Engineering,,new,12/19/2003,12/31/2004
PHY060042,PHY060045N,Physics,Physics,Mathematical and Physical Sciences,,new,10/1/2006,9/30/2007
PHY060042,PHY060046N,Physics,Physics,Mathematical and Physical Sciences,,new,10/1/2006,9/30/2007
ASC060023,ASC060012T,Advanced Scientific Computing,Advanced Scientific Computing,Computer and Information Science and Engineering,,renewal,1/25/2007,1/31/2008
,ASC050037N,Advanced Scientific Computing,Advanced Scientific Computing,Computer and Information Science and Engineering,,renewal,6/18/2007,6/30/2008
CCR080003,CCR080011N,Computer and Computation Research,Computer and Computation Research,Computer and Information Science and Engineering,,new,11/28/2007,11/30/2008
ASC080004,ASC080014N,Advanced Scientific Computing,Advanced Scientific Computing,Computer and Information Science and Engineering,,new,1/1/2008,12/31/2008
PHY060042,PHY060045N,Physics,Physics,Mathematical and Physical Sciences,,renewal,1/1/2008,12/31/2008
PHY060042,PHY060046N,Physics,Physics,Mathematical and Physical Sciences,,renewal,1/1/2008,12/31/2008
ASC080025,ASC080033N,Advanced Scientific Computing,Advanced Scientific Computing,Computer and Information Science and Engineering,,new,3/11/2008,3/1/2009
ASC080030,ASC080049N,Advanced Scientific Computing,Advanced Scientific Computing,Computer and Information Science and Engineering,,new,7/1/2008,6/30/2009
AST080046,AST080036T,Astronomical Sciences,Astronomical Sciences,Mathematical and Physical Sciences,,new,8/5/2008,7/31/2009
STA090018,STA060004N,Center Systems Staff,Center Systems Staff,Other,,new,5/19/2006,5/31/2007
STA090018,STA060004N,Center Systems Staff,Center Systems Staff,Other,,renewal,5/3/2007,5/31/2008
STA090018,STA060004N,Center Systems Staff,Center Systems Staff,Other,,renewal,5/5/2008,5/31/2009
STA090020,STA060008N,Center Systems Staff,Center Systems Staff,Other,,new,5/19/2006,5/31/2007
STA090020,STA060008N,Center Systems Staff,Center Systems Staff,Other,,renewal,5/3/2007,5/31/2008
STA090020,STA060008N,Center Systems Staff,Center Systems Staff,Other,,renewal,5/5/2008,5/31/2009
PHY090072,PHY090072,Nuclear Physics,Physics,Mathematical and Physical Sciences,Startup,new,2/3/2009,2/3/2010
ATM090049,ATM090049,Atmospheric Sciences,Atmospheric Sciences,Geosciences,Educational,new,5/9/2009,5/9/2010
OCE090014,OCE090014,Physical Oceanography,Ocean Sciences,Geosciences,Startup,new,5/26/2009,5/26/2010
STA090018,STA060004N,Center Systems Staff,Center Systems Staff,Other,Staff,renewal,6/1/2009,6/1/2010
STA090020,STA060008N,Center Systems Staff,Center Systems Staff,Other,Staff,renewal,6/1/2009,6/1/2010
ASC090069,ASC090069,Performance Evaluation and Benchmarking,Advanced Scientific Computing,Computer and Information Science and Engineering,Startup,new,6/30/2009,6/30/2010
CDA090010,CDA090010T,Cross-Disciplinary Activities,Cross-Disciplinary Activities,Computer and Information Science and Engineering,Startup,new,7/16/2009,7/16/2010
CDA090010,CDA090010,Cross-Disciplinary Activities,Cross-Disciplinary Activities,Computer and Information Science and Engineering,Startup,new,7/16/2009,7/16/2010
CDA100001,CDA100001,Cross-Disciplinary Activities,Cross-Disciplinary Activities,Computer and Information Science and Engineering,TRAC,new,10/1/2009,9/30/2010
OCE090014,OCE090014,Physical Oceanography,Ocean Sciences,Geosciences,Startup,renewal,5/27/2010,5/27/2011
STA090020,STA060008N,Center Systems Staff,Center Systems Staff,Other,Staff,renewal,6/2/2010,6/2/2011
STA090018,STA060004N,Center Systems Staff,Center Systems Staff,Other,Staff,renewal,6/2/2010,6/2/2011
STA110005,STA110005S,Center Systems Staff,Center Systems Staff,Other,Staff,new,9/13/2011,9/13/2012
AST120041,AST120041,Astronomical Sciences,Astronomical Sciences,Mathematical and Physical Sciences,XRAC,new,7/1/2012,6/30/2013
STA110005,STA110005S,Center Systems Staff,Center Systems Staff,Other,Staff,renewal,9/14/2012,9/13/2013
ASC120045,ASC120045,Advanced Scientific Computing,Advanced Scientific Computing,Computer and Information Science and Engineering,Startup,new,10/17/2012,10/16/2013
CCR130051,CCR130051,Computer and Computation Research,Computer and Computation Research,Computer and Information Science and Engineering,Startup,new,6/20/2013,6/19/2014
CCR130077,CCR130077,Software Systems,Computer and Computation Research,Computer and Information Science and Engineering,Startup,new,9/12/2013,9/11/2014
STA110005,STA110005S,Center Systems Staff,Center Systems Staff,Other,Staff,renewal,9/21/2013,9/20/2014
STA110005,STA110005S,Center Systems Staff,Center Systems Staff,Other,Staff,renewal,9/21/2014,9/20/2015
STA110005,STA110005,Center Systems Staff,Center Systems Staff,Other,Staff,renewal,9/14/2014,9/13/2015
DMR140139,DMR140139,Materials Research,Materials Research,Mathematical and Physical Sciences,Startup,new,12/10/2014,12/9/2015
DMR150016,DMR150016,Materials Research,Materials Research,Mathematical and Physical Sciences,Research,new,3/16/2015,3/31/2015
CTS150012,CTS150012,"Fluid, Particulate, and Hydraulic Systems","Chemical, Thermal Systems",Engineering,Startup,new,3/23/2015,3/22/2016
DMR150043,DMR150043,Materials Research,Materials Research,Mathematical and Physical Sciences,Research,new,4/24/2015,6/30/2015
DMR150043,DMR150043,Materials Research,Materials Research,Mathematical and Physical Sciences,Research,new,7/1/2015,6/30/2016
CTS150020,CTS150020,"Fluid, Particulate, and Hydraulic Systems","Chemical, Thermal Systems",Engineering,Research,new,7/1/2015,6/30/2016
BIO150031,BIO150031,Biological Sciences,Biological Sciences,Biological Sciences,Startup,new,6/23/2015,6/22/2016
DMR150123,DMR150123,Materials Research,Materials Research,Mathematical and Physical Sciences,Startup,new,1/14/2016,1/13/2017
DMR160016,DMR160016,Materials Research,Materials Research,Mathematical and Physical Sciences,Research,new,4/1/2016,3/31/2017
DMR150043,DMR150043,Materials Research,Materials Research,Mathematical and Physical Sciences,Research,renewal,7/17/2016,9/30/2016
DMR150043,DMR150043,Materials Research,Materials Research,Mathematical and Physical Sciences,Research,renewal,10/26/2016,12/31/2016
DMR150043,DMR150043,Materials Research,Materials Research,Mathematical and Physical Sciences,Research,renewal,1/17/2017,3/31/2017
DMR170060,DMR170060,Materials Research,Materials Research,Mathematical and Physical Sciences,Startup,new,7/13/2017,7/12/2018
ECS170006,ECS170006,Communications and Computational Systems,Electrical and Communication Systems,Engineering,Startup,new,8/14/2017,8/13/2018
CDA170011,CDA170011,Special Projects,Cross-Disciplinary Activities,Computer and Information Science and Engineering,Startup,new,9/25/2017,9/24/2018
CCR180002,CCR180002,Computer and Computation Research,Computer and Computation Research,Computer and Information Science and Engineering,Educational,new,1/22/2018,1/21/2019
ASC180031,ASC180031,Advanced Scientific Computing,Advanced Scientific Computing,Computer and Information Science and Engineering,Startup,new,6/19/2018,6/18/2019
PHY050001,PHY050006N,Physics,Physics,Mathematical and Physical Sciences,,new,1/1/2005,12/31/2005
ECS040004,ECS040001P,Electrical and Communication Systems,Electrical and Communication Systems,Engineering,,new,3/24/2004,3/31/2005
MCA01S011,MCA01S001,Materials Research,Materials Research,Mathematical and Physical Sciences,,renewal,4/1/2005,3/31/2006
MCA01S011,MCA01T011,Materials Research,Materials Research,Mathematical and Physical Sciences,,new,4/1/2005,3/31/2006
CHE050092,CHE050060T,Chemistry,Chemistry,Mathematical and Physical Sciences,,new,7/25/2005,7/31/2006
ECS040004,ECS040001P,Electrical and Communication Systems,Electrical and Communication Systems,Engineering,,new,6/29/2004,7/15/2005
PHY050001,PHY060033N,Physics,Physics,Mathematical and Physical Sciences,,new,4/1/2006,12/31/2006
ATM080004,ATM080005N,Atmospheric Sciences,Atmospheric Sciences,Geosciences,,new,12/21/2007,12/31/2008
MCB080063,MCB080080N,Molecular Biosciences,Molecular Biosciences,Biological Sciences,,new,4/1/2008,3/31/2009
MCB080071,MCB080116N,Molecular Biosciences,Molecular Biosciences,Biological Sciences,,new,7/1/2008,6/30/2009
PHY090001,PHY090035,"Atomic, Molecular, and Optical Physics",Physics,Mathematical and Physical Sciences,Startup,new,10/14/2008,10/14/2009
MCB090107,MCB090107,Biochemistry and Molecular Structure and Function,Molecular Biosciences,Biological Sciences,Startup,new,1/30/2009,1/30/2010
DMS090029,DMS090029,Applied Mathematics,Mathematical Sciences,Mathematical and Physical Sciences,Startup,new,2/3/2009,2/3/2010
DMS090031,DMS090031,Computational Mathematics,Mathematical Sciences,Mathematical and Physical Sciences,Startup,new,2/17/2009,2/17/2010
ECS090019,ECS090019,"Quantum Electronics, Waves, and Beams",Electrical and Communication Systems,Engineering,Startup,new,7/1/2009,7/1/2010
MCB100008,MCB100008,Biochemistry and Molecular Structure and Function,Molecular Biosciences,Biological Sciences,TRAC,new,1/1/2010,12/31/2010
CTS100018,CTS100018,"Fluid, Particulate, and Hydraulic Systems","Chemical, Thermal Systems",Engineering,TRAC,new,4/1/2010,3/31/2011
MCB080071,MCB080116N,Biophysics,Molecular Biosciences,Biological Sciences,TRAC,renewal,4/1/2010,3/31/2011
MCB110007,MCB110007,Biochemistry and Molecular Structure and Function,Molecular Biosciences,Biological Sciences,Startup,new,10/12/2010,10/12/2011
AST110020,AST110020,Astronomical Sciences,Astronomical Sciences,Mathematical and Physical Sciences,Startup,new,2/19/2011,2/19/2012
PHY110022,PHY110022,Nuclear Physics,Physics,Mathematical and Physical Sciences,Startup,new,2/22/2011,2/22/2012
MCB080071,MCB080116N,Biophysics,Molecular Biosciences,Biological Sciences,TRAC,renewal,4/1/2011,3/31/2012
MCB110062,MCB110062,Biochemistry and Molecular Structure and Function,Molecular Biosciences,Biological Sciences,TRAC,new,4/1/2011,3/31/2012
EAR110010,EAR110010,Experimental and Theoretical Geochemistry,Earth Sciences,Geosciences,Startup,new,4/7/2011,4/7/2012
CHE110075,CHE110075,Physical Chemistry,Chemistry,Mathematical and Physical Sciences,Startup,new,6/10/2011,6/10/2012
AST110044,AST110044,Astronomical Sciences,Astronomical Sciences,Mathematical and Physical Sciences,Startup,new,6/10/2011,6/10/2012
AST110028,AST110028,Astronomical Sciences,Astronomical Sciences,Mathematical and Physical Sciences,TRAC,new,7/1/2011,6/30/2012
TRA110025,TRA110025,Training,Training,Other,Campus Champions,new,8/11/2011,8/11/2012
MCB110158,MCB110158,Genetics and Nucleic Acids,Molecular Biosciences,Biological Sciences,Startup,new,8/17/2011,8/17/2012
CTS100018,CTS100018,"Fluid, Particulate, and Hydraulic Systems","Chemical, Thermal Systems",Engineering,XRAC,renewal,10/1/2011,9/30/2012
MCB120058,MCB120058,Biophysics,Molecular Biosciences,Biological Sciences,Startup,new,1/31/2012,1/31/2013
DMR120030,DMR120030,Materials Research,Materials Research,Mathematical and Physical Sciences,Startup,new,2/17/2012,2/17/2013
MCB080071,MCB080116N,Biophysics,Molecular Biosciences,Biological Sciences,XRAC,renewal,4/1/2012,3/31/2013
MCB110062,MCB110062,Biophysics,Molecular Biosciences,Biological Sciences,XRAC,renewal,7/1/2012,6/30/2013
MCB120151,MCB120151,Biophysics,Molecular Biosciences,Biological Sciences,Startup,new,7/10/2012,7/9/2013
AST120056,AST120056,Astronomical Sciences,Astronomical Sciences,Mathematical and Physical Sciences,Campus Champions,new,8/7/2012,8/6/2013
